"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 04 09:46:01 GMT 2025","Fri Jul 04 09:46:06 GMT 2025","5077","","Login Functionality","","Login Functionality","Failed login with empty fields","Failed login with empty fields",""
"passed","Fri Jul 04 09:45:46 GMT 2025","Fri Jul 04 09:45:55 GMT 2025","9443","","Login Functionality","","Successful login with valid credentials","","Successful login with valid credentials",""
"skipped","Fri Jul 04 09:46:01 GMT 2025","Fri Jul 04 09:46:06 GMT 2025","5067","","Login Functionality","","Failed login with empty fields","","Failed login with empty fields",""
"broken","Fri Jul 04 09:46:11 GMT 2025","Fri Jul 04 09:46:16 GMT 2025","4912","","Login Functionality","","Login Functionality","Failed login with valid username and empty password","Failed login with valid username and empty password",""
"broken","Fri Jul 04 09:45:56 GMT 2025","Fri Jul 04 09:46:01 GMT 2025","5075","","Login Functionality","","Login Functionality","Failed login with invalid credentials","Failed login with invalid credentials",""
"skipped","Fri Jul 04 09:45:56 GMT 2025","Fri Jul 04 09:46:01 GMT 2025","5054","","Login Functionality","","Failed login with invalid credentials","","Failed login with invalid credentials",""
"skipped","Fri Jul 04 09:46:06 GMT 2025","Fri Jul 04 09:46:11 GMT 2025","4871","","Login Functionality","","Failed login with excessively long username","","Failed login with excessively long username",""
"passed","Fri Jul 04 09:45:46 GMT 2025","Fri Jul 04 09:45:55 GMT 2025","9652","","Login Functionality","","Login Functionality","Successful login with valid credentials","Successful login with valid credentials",""
"broken","Fri Jul 04 09:46:06 GMT 2025","Fri Jul 04 09:46:11 GMT 2025","4880","","Login Functionality","","Login Functionality","Failed login with excessively long username","Failed login with excessively long username",""
"skipped","Fri Jul 04 09:46:11 GMT 2025","Fri Jul 04 09:46:16 GMT 2025","4902","","Login Functionality","","Failed login with valid username and empty password","","Failed login with valid username and empty password",""
